id;modele;id_marque;rappel_marque
1;500 III;1;ABARTH
2;U5;2;AIWAYS
3;2141;3;ALEKO
4;1300;4;ALFA ROMEO
5;1600;4;ALFA ROMEO
6;164;4;ALFA ROMEO
7;1750;4;ALFA ROMEO
8;2000;4;ALFA ROMEO
9;4C;4;ALFA ROMEO
10;145;4;ALFA ROMEO
11;146;4;ALFA ROMEO
12;147;4;ALFA ROMEO
13;155;4;ALFA ROMEO
14;156;4;ALFA ROMEO
15;ALFA 159;4;ALFA ROMEO
16;ALFA 159 SW;4;ALFA ROMEO
17;ALFA 166;4;ALFA ROMEO
18;ALFA 33;4;ALFA ROMEO
19;ALFA 6;4;ALFA ROMEO
20;ALFA 75;4;ALFA ROMEO
21;ALFA 90;4;ALFA ROMEO
22;ALFA GT;4;ALFA ROMEO
23;ALFA GTV;4;ALFA ROMEO
24;ALFA-SUD;4;ALFA ROMEO
25;ALFETTA;4;ALFA ROMEO
26;BRERA;4;ALFA ROMEO
27;CROSSWAGON;4;ALFA ROMEO
28;GIULIA;4;ALFA ROMEO
29;GIULIETTA;4;ALFA ROMEO
30;MITO;4;ALFA ROMEO
31;RZ;4;ALFA ROMEO
32;SPIDER;4;ALFA ROMEO
33;SPORTWAGON;4;ALFA ROMEO
34;SPRINT;4;ALFA ROMEO
35;STELVIO;4;ALFA ROMEO
36;SZ;4;ALFA ROMEO
37;TONALE;4;ALFA ROMEO
38;A110;5;ALPINE RENAULT
39;A110 II;5;ALPINE RENAULT
40;A310;5;ALPINE RENAULT
41;A610;5;ALPINE RENAULT
42;LE MANS;5;ALPINE RENAULT
43;V6;5;ALPINE RENAULT
44;4X4;6;ARO
45;SPARTANA;6;ARO
46;ROCSTA;7;ASIA
47;CYGNET;8;ASTON MARTIN
48;100;9;AUDI
49;200;9;AUDI
50;50;9;AUDI
51;60;9;AUDI
52;70;9;AUDI
53;75;9;AUDI
54;80;9;AUDI
55;90;9;AUDI
56;A1;9;AUDI
57;A1 II;9;AUDI
58;A2;9;AUDI
59;A3;9;AUDI
60;A3 *;9;AUDI
61;A3 IV;9;AUDI
62;A3 SPORTBACK;9;AUDI
63;A4;9;AUDI
64;A4 III - IV;9;AUDI
65;A4 V;9;AUDI
66;A5;9;AUDI
67;A5 SPORTBACK;9;AUDI
68;A6;9;AUDI
69;A6 III;9;AUDI
70;A6 IV;9;AUDI
71;A6 V;9;AUDI
72;A7;9;AUDI
73;A8;9;AUDI
74;ALLROAD;9;AUDI
75;CABRIOLET;9;AUDI
76;COUPE;9;AUDI
77;E-TRON;9;AUDI
78;E-TRON GT;9;AUDI
79;GT;9;AUDI
80;Q2;9;AUDI
81;Q3;9;AUDI
82;Q3 II;9;AUDI
83;Q4 E-TRON;9;AUDI
84;Q5;9;AUDI
85;Q7;9;AUDI
86;Q8;9;AUDI
87;Q8 E-TRON;9;AUDI
88;QUATTRO;9;AUDI
89;R8;9;AUDI
90;RO 80;9;AUDI
91;RS3;9;AUDI
92;RS3 IV;9;AUDI
93;RS4;9;AUDI
94;RS5;9;AUDI
95;RS6;9;AUDI
96;RS7;9;AUDI
97;S1;9;AUDI
98;S3;9;AUDI
99;S3 IV;9;AUDI
100;S3 SPORTBACK;9;AUDI
101;S4;9;AUDI
102;S5;9;AUDI
103;S6;9;AUDI
104;S6 V;9;AUDI
105;S7;9;AUDI
